15,-5,-15,-5,-10,5,10,27.5
14.9,-4.95,-14.8,-5.4,-9.975,5.05,9.975,27.465
14.8,-4.9,-14.6,-5.8,-9.95,5.1,9.95,27.43
14.7,-4.85,-14.4,-6.2,-9.925,5.15,9.925,27.395
14.6,-4.8,-14.2,-6.6,-9.9,5.2,9.9,27.36
14.5,-4.75,-14.0,-7.0,-9.875,5.25,9.875,27.325
14.4,-4.7,-13.8,-7.4,-9.85,5.3,9.85,27.29
14.3,-4.65,-13.6,-7.800000000000001,-9.825,5.35,9.825,27.255
14.2,-4.6,-13.4,-8.2,-9.8,5.4,9.8,27.22
14.1,-4.55,-13.2,-8.6,-9.775,5.45,9.775,27.185
14.0,-4.5,-13.0,-9.0,-9.75,5.5,9.75,27.15
13.9,-4.45,-12.8,-9.4,-9.725,5.55,9.725,27.115
13.8,-4.4,-12.6,-9.8,-9.7,5.6,9.7,27.08
13.7,-4.35,-12.4,-10.2,-9.675,5.65,9.675,27.045
13.6,-4.3,-12.2,-10.600000000000001,-9.65,5.7,9.65,27.01
13.5,-4.25,-12.0,-11.0,-9.625,5.75,9.625,26.975
13.4,-4.2,-11.8,-11.4,-9.6,5.8,9.6,26.94
13.3,-4.15,-11.6,-11.8,-9.575,5.85,9.575,26.905
13.2,-4.1,-11.4,-12.2,-9.55,5.9,9.55,26.87
13.1,-4.05,-11.2,-12.600000000000001,-9.525,5.95,9.525,26.835
13.0,-4.0,-11.0,-13.0,-9.5,6.0,9.5,26.8
12.9,-3.95,-10.8,-13.4,-9.475,6.05,9.475,26.765
12.8,-3.9,-10.6,-13.8,-9.45,6.1,9.45,26.73
12.7,-3.8499999999999996,-10.399999999999999,-14.200000000000001,-9.425,6.15,9.425,26.695
12.6,-3.8,-10.2,-14.600000000000001,-9.4,6.2,9.4,26.66
12.5,-3.75,-10.0,-15.0,-9.375,6.25,9.375,26.625
12.4,-3.7,-9.8,-15.4,-9.35,6.3,9.35,26.59
12.3,-3.65,-9.6,-15.8,-9.325,6.35,9.325,26.555
12.2,-3.5999999999999996,-9.399999999999999,-16.200000000000003,-9.3,6.4,9.3,26.52
12.1,-3.55,-9.2,-16.6,-9.275,6.45,9.275,26.485
12.0,-3.5,-9.0,-17.0,-9.25,6.5,9.25,26.45
11.9,-3.45,-8.8,-17.4,-9.225,6.55,9.225,26.415
11.8,-3.4,-8.6,-17.8,-9.2,6.6,9.2,26.38
11.7,-3.3499999999999996,-8.399999999999999,-18.200000000000003,-9.175,6.65,9.175,26.345
11.6,-3.3,-8.2,-18.6,-9.15,6.7,9.15,26.31
11.5,-3.25,-8.0,-19.0,-9.125,6.75,9.125,26.275
11.4,-3.2,-7.8,-19.4,-9.1,6.8,9.1,26.24
11.3,-3.15,-7.6,-19.8,-9.075,6.85,9.075,26.205
11.2,-3.0999999999999996,-7.3999999999999995,-20.200000000000003,-9.05,6.9,9.05,26.17
11.1,-3.05,-7.199999999999999,-20.6,-9.025,6.95,9.025,26.134999999999998
